MODEL,TRAIN Score,TEST Score,R2,MAE,MSE,RMSE,CV Mean R2,CV Std
LINEAR REGRESSION,0.9999956906092649,0.9999951480020507,0.9999951480020507,189.75168153983276,75973.03919951458,275.6320721532866,0.9999949223985709,5.722466798668881e-07
RANDOM FOREST,0.9986362181921747,0.9913373283985347,0.9913373283985346,9015.524481261438,135640924.83705488,11646.498393811544,0.9906851341332189,0.00023265316329501917
XGBOOST,0.9946410231590481,0.9907120769988961,0.9907120769988961,9845.620598720294,145431169.9259129,12059.484645950377,0.9899718816850503,0.00032241913953858826
